scene_id,task_dir,component,candidate,parameters,roi_mode,roi_sample_range,roi_trace_range,mae,mse,rmse,psnr,ssim,roi_energy_retention,outside_roi_residual_energy,cnr_proxy,cnr_gain_vs_baseline,selected,status,warnings
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_1,"{""remove_rank"": 1}",auto_proxy,"[727, 1559]","[27, 54]",0.00094606849597767,3.6617402656702325e-06,0.0019135674186373033,26.643914528649287,0.9162892612122437,0.8723971843421515,4.077791800227715e-06,0.12677864247438542,0.4477865797587243,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_2,"{""remove_rank"": 2}",auto_proxy,"[727, 1559]","[27, 54]",0.0012207041727378964,1.3469886653183494e-05,0.0036701344189530027,20.987150473504773,0.6031252675130878,0.8185611489594824,1.539824006613344e-05,0.39572787848854923,0.7167358157728881,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_3,"{""remove_rank"": 3}",auto_proxy,"[727, 1559]","[27, 54]",0.0015072067035362124,1.9268341930001043e-05,0.004389571952935849,19.432346440087397,0.31532296730398585,0.6885770016800246,2.1952600945951417e-05,0.9614253680143304,1.2824333052986694,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_5,"{""remove_rank"": 5}",auto_proxy,"[727, 1559]","[27, 54]",0.0017078110249713063,2.1873964215046726e-05,0.004676961002087437,18.881514912840327,0.14341281553384147,0.10063130947234115,2.2868060113978572e-05,0.3323658358085683,0.6533737730929072,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_8,"{""remove_rank"": 8}",auto_proxy,"[727, 1559]","[27, 54]",0.001721592852845788,2.275922270200681e-05,0.004770662710987522,18.709215631005296,0.07673195742589232,0.010892697982815489,2.339220191061031e-05,0.18235260124411945,0.5033605385284583,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,svd_rank_10,"{""remove_rank"": 10}",auto_proxy,"[727, 1559]","[27, 54]",0.0017312613781541586,2.2894157154951245e-05,0.004784783919358454,18.683543289041207,0.06613078141574358,0.002371738576458755,2.348213820368983e-05,0.1184743743784614,0.4394823116628003,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,baseline,{},auto_proxy,"[727, 1559]","[27, 54]",0.26302430033683777,0.6792008876800537,0.8241364496732648,15.641040296389795,0.0316152067344343,48.79278182151293,0.7851277589797974,-0.3210079372843389,0.0,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,median_background,"{""mode"": ""global_median""}",auto_proxy,"[727, 1559]","[27, 54]",0.00018527754582464695,1.419574431338333e-07,0.0003767724022985671,40.75920820122356,0.9962160065018686,1.160230579995347,1.2026075069115905e-07,-0.13229316261129437,0.1899030120968877,True,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,mean_background,"{""mode"": ""global_mean""}",auto_proxy,"[727, 1559]","[27, 54]",0.0007693687221035361,3.319516054034466e-06,0.0018219539110620954,27.070042152263046,0.9150206223722623,1.2670627156619891,3.757086915356922e-06,-0.18261291691575576,0.1395832577924263,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_1,"{""remove_rank"": 1}",auto_proxy,"[727, 1559]","[27, 54]",0.0008376407204195857,3.4367017178738024e-06,0.0018538343285940636,26.9193714858223,0.9117476468008385,1.2628458564364784,3.893717348546488e-06,-0.19745615888667764,0.12474001582150443,False,ok,"[""roi_mode=auto_proxy""]"
